路线编号,所在行政区划代码,路线名称,路段起止名称_起点名称,路段起止名称_止点名称,路段起止桩号_起点桩号,路段起止桩号_止点桩号,里程（公里）,路段基本属性_技术等级_代码,路段基本属性_技术等级_等级,路段基本属性_是否一幅高速,路段基本属性_车道数量(个),路段基本属性_面层类型_代码,路段基本属性_面层类型_类型,路段基本属性_路基宽度(米),路段基本属性_路面宽度(米),路段基本属性_面层厚度(厘米),路段基本属性_设计时速,路段基本属性_抗震等级,路段基本属性_防洪标准,修建改建_修建年度,修建改建_改建年度,最近一次修复养护年度,断链类型,是否城管路段,是否断头路段,收费路段性质,被重复主线_路线编号,被重复主线_起点桩号,被重复主线_终点桩号,被重复主线_是否长链,养护管理情况（公里）_养护里程,养护管理情况（公里）_可绿化里程,养护管理情况（公里）_已绿化里程,地貌,涵洞数量（个）,管养单位名称,省际出入口,国道调整前路线编号,是否按干线公路管理接养,备注
G11,230307,鹤岗—大连（鹤大高速）,滴道区/麻山区界,牡丹江/佳木斯分公司,268.462,283.177,14.715,10,高速,否,4.0,11,沥青混凝土,20.0,17.5,12,80,0.05或6度,100.0,2003.0,2011.0,,0,否,否,还贷,,,,,14.715,14.715,14.715,重丘,26,养护科技佳木斯分公司, ,G11,是,
G11,230307,鹤岗—大连（鹤大高速）,牡丹江/佳木斯分公司,麻山区/林口县界,283.177,288.492,5.315,10,高速,否,4.0,11,沥青混凝土,20.0,17.5,12,80,0.05或6度,100.0,2003.0,2011.0,,0,否,否,还贷,,,,,5.315,5.315,5.315,重丘,7,养护科技牡丹江分公司, ,G11,是,
G11,231025,鹤岗—大连（鹤大高速）,麻山区/林口县界,林口工区/牡丹江工区,288.492,330.026,41.534,10,高速,否,4.0,11,沥青混凝土,20.0,17.5,12,80,0.05或6度,100.0,2003.0,2011.0,,0,否,否,还贷,,,,,41.534,41.534,41.534,重丘,62,养护科技牡丹江分公司, ,G11,是,
G11,231025,鹤岗—大连（鹤大高速）,林口工区/牡丹江工区,林口县/阳明区界,330.026,357.342,27.316,10,高速,否,4.0,11,沥青混凝土,20.0,17.5,12,120,0.05或6度,100.0,2003.0,2011.0,,0,否,否,还贷,,,,,27.316,27.316,27.316,重丘,57,养护科技牡丹江分公司, ,G11,是,
G11,231003,鹤岗—大连（鹤大高速）,林口县/阳明区界,鸡西处/牡丹江处,357.342,395.402,38.06,10,高速,否,4.0,11,沥青混凝土,20.0,17.5,12,80,0.05或6度,100.0,2003.0,2011.0,,0,否,否,还贷,,,,,38.06,38.06,38.06,重丘,61,养护科技牡丹江分公司, ,G11,是,
G11,231001,鹤岗—大连（鹤大高速）,鸡西处/牡丹江处,三道互通,395.402,396.893,1.491,10,高速,否,4.0,11,沥青混凝土,24.5,20.5,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,1.491,1.491,1.491,山岭,0,养护科技牡丹江分公司, ,G11,是,
G11,231001,鹤岗—大连（鹤大高速）,三道互通,磨刀石/小莫养护工区,396.893,409.68,12.787,10,高速,否,4.0,11,沥青混凝土,24.5,20.5,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,G10,147.178,159.965,否,12.787,12.787,12.787,山岭,0,养护科技牡丹江分公司, ,G10,是,
G11,231001,鹤岗—大连（鹤大高速）,磨刀石/小莫养护工区,大莫互通,409.68,410.215,0.535,10,高速,否,4.0,11,沥青混凝土,24.5,20.5,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,G10,159.965,160.5,否,0.535,0.535,0.535,山岭,0,养护科技牡丹江分公司, ,G10,是,
G11,231001,鹤岗—大连（鹤大高速）,大莫互通,牡丹江/宁安界,410.215,422.455,12.24,10,高速,否,4.0,11,沥青混凝土,24.5,20.5,22,80,0.05或6度,100.0,1998.0,2018.0,,0,否,否,还贷,,,,,12.24,12.24,12.24,微丘,23,养护科技牡丹江分公司, ,G11,是,
G11,231084,鹤岗—大连（鹤大高速）,牡丹江/宁安界,小莫/东京城工区,422.455,426.115,3.66,10,高速,否,4.0,11,沥青混凝土,24.5,20.5,22,80,0.05或6度,100.0,1998.0,2018.0,,0,否,否,还贷,,,,,3.66,3.66,3.66,微丘,4,养护科技牡丹江分公司, ,G11,是,
G11,231084,鹤岗—大连（鹤大高速）,小莫/东京城工区,K473,426.115,433.586,7.471,10,高速,否,4.0,11,沥青混凝土,24.5,20.5,22,80,0.05或6度,100.0,1998.0,2018.0,,0,否,否,还贷,,,,,7.471,7.471,7.471,微丘,16,养护科技牡丹江分公司, ,G11,是,
G11,231084,鹤岗—大连（鹤大高速）,K473,K474+300,433.586,434.944,1.358,10,高速,否,4.0,11,沥青混凝土,24.5,20.5,12,80,0.05或6度,100.0,1998.0,2021.0,,0,否,否,还贷,,,,,1.358,1.358,1.358,山岭,0,养护科技牡丹江分公司, ,G11,是,
G11,231084,鹤岗—大连（鹤大高速）,K474+300,东京城/镜泊工区,434.944,475.458,40.514,10,高速,否,4.0,11,沥青混凝土,24.5,20.5,22,80,0.05或6度,100.0,2008.0,2021.0,,0,否,否,还贷,,,,,40.514,40.514,40.514,山岭,44,养护科技牡丹江分公司, ,G11,是,
G11,231084,鹤岗—大连（鹤大高速）,东京城/镜泊工区,镜泊互通,475.458,509.354,33.896,10,高速,否,4.0,11,沥青混凝土,24.5,20.5,22,80,0.05或6度,100.0,2008.0,2021.0,,0,否,否,还贷,,,,,33.896,33.896,33.896,山岭,57,养护科技牡丹江分公司, ,G11,是,
G11,231084,鹤岗—大连（鹤大高速）,镜泊互通,黑吉界,509.354,527.321,17.967,10,高速,否,4.0,11,沥青混凝土,24.5,20.5,22,80,0.05或6度,100.0,2011.0,2021.0,,0,否,否,还贷,,,,,17.967,17.967,17.967,山岭,25,养护科技牡丹江分公司,2,G11,是,
G111,232761,北京—漠河,黑内衔接点,白桦工区,1911.701,1942.203,30.502,11,一级,否,4.0,11,沥青混凝土,24.5,21.0,12,80,0.05或6度,100.0,2012.0,,,0,否,否,还贷,,,,,30.502,30.502,30.502,微丘,23,养护科技齐齐哈尔分公司, ,近年新建,是,
G111,232761,北京—漠河,白桦工区,黑蒙界,1942.203,1963.81,21.607,11,一级,否,4.0,11,沥青混凝土,24.5,21.0,12,80,0.05或6度,100.0,2012.0,,,0,否,否,还贷,,,,,21.607,21.607,21.607,微丘,27,养护科技齐齐哈尔分公司, ,近年新建,是,
G111,232761,北京—漠河,黑蒙界,白桦乡,1963.81,1977.752,13.942,11,一级,否,4.0,11,沥青混凝土,24.5,21.0,12,80,<0.05或6度以下,100.0,2012.0,,,0,否,否,还贷,,,,,13.942,13.942,13.942,微丘,18,养护科技齐齐哈尔分公司, ,近年新建,是,
G111,232761,北京—漠河,白桦乡,重复路段终,1977.752,1999.077,21.325,11,一级,否,4.0,12,水泥混凝土,24.5,21.0,22,80,0.05或6度,100.0,2000.0,2010.0,,0,否,否,还贷,,,,,21.325,21.325,21.325,微丘,41,养护科技齐齐哈尔分公司, ,G111,是,
G111,232761,北京—漠河,重复路段终,重复路段始,1999.077,2002.639,3.562,11,一级,否,4.0,12,水泥混凝土,24.5,21.0,22,80,<0.05或6度以下,100.0,2000.0,2010.0,,0,否,否,还贷,,,,,3.562,3.562,3.562,微丘,6,养护科技齐齐哈尔分公司, ,G111,是,
G111,232761,北京—漠河,重复路段始,重复路段终,2002.639,2004.272,1.633,11,一级,否,4.0,12,水泥混凝土,24.5,21.0,22,80,0.05或6度,100.0,2000.0,2010.0,,0,是,否,非收费,,,,,1.633,1.633,1.633,微丘,4,大兴安岭地区交通运输局市城建局, ,G111,否,
G111,232761,北京—漠河,重复路段终,k9+000,2004.272,2013.552,9.28,11,一级,否,4.0,11,沥青混凝土,24.5,21.0,12,80,0.05或6度,100.0,2002.0,,,0,否,否,非收费,,,,,9.28,9.28,9.1,重丘,27,加格达奇区公路事业发展中心, ,S207,是,
G111,232761,北京—漠河,k9+000,加格达奇/松岭界,2013.552,2021.137,7.585,12,二级,否,2.0,11,沥青混凝土,12.0,9.0,12,80,0.05或6度,50.0,2002.0,,,0,否,否,非收费,,,,,7.585,7.585,7.585,重丘,6,加格达奇区公路事业发展中心, ,S207,是,
G111,232762,北京—漠河,加格达奇/松岭界,K34+000,2021.137,2038.277,17.14,12,二级,否,2.0,11,沥青混凝土,12.0,9.0,10,80,0.05或6度,50.0,2002.0,2014.0,,0,否,否,非收费,,,,,17.14,17.14,8.0,重丘,24,加格达奇区公路事业发展中心, ,S207,是,
G111,232762,北京—漠河,K34+000,松岭区,2038.277,2047.277,9.0,12,二级,否,2.0,12,水泥混凝土,12.0,9.0,22,80,0.05或6度,50.0,2002.0,,,0,否,否,非收费,,,,,9.0,9.0,9.0,重丘,8,加格达奇区公路事业发展中心, ,S207,是,
G111,232762,北京—漠河,松岭区,劲松镇,2047.277,2087.759,40.482,12,二级,否,2.0,12,水泥混凝土,12.0,9.0,22,80,0.05或6度,50.0,2002.0,,,0,否,否,非收费,,,,,40.482,39.903,39.903,重丘,62,大兴安岭地区加漠公路养护事业中心, ,S207,是,
G111,232762,北京—漠河,劲松镇,松岭/新林界,2087.759,2118.663,30.904,12,二级,否,2.0,12,水泥混凝土,12.0,9.0,22,80,0.05或6度,50.0,2002.0,,,0,否,否,非收费,,,,,30.904,30.009,30.009,重丘,43,大兴安岭地区加漠公路养护事业中心, ,S207,是,
G111,232763,北京—漠河,松岭/新林界,重复路始,2118.663,2158.277,39.614,12,二级,否,2.0,12,水泥混凝土,12.0,9.0,22,80,0.05或6度,50.0,2003.0,2010.0,,0,否,否,非收费,,,,,39.614,39.614,38.864,山岭,60,大兴安岭地区加漠公路养护事业中心, ,S207,是,
G111,232763,北京—漠河,重复路始,重复路终,2158.277,2166.168,7.891,12,二级,否,2.0,12,水泥混凝土,12.0,9.0,22,80,0.05或6度,50.0,2003.0,2010.0,,0,否,否,非收费,,,,,7.891,7.891,7.85,山岭,12,大兴安岭地区加漠公路养护事业中心, ,S207,是,
G111,232763,北京—漠河,重复路终,碧洲镇,2166.168,2206.73,40.562,12,二级,否,2.0,12,水泥混凝土,12.0,9.0,22,80,0.05或6度,50.0,2003.0,2010.0,,0,否,否,非收费,,,,,40.562,40.562,38.461,山岭,36,大兴安岭地区加漠公路养护事业中心, ,S207,是,
G111,232763,北京—漠河,碧洲镇,新林/塔河界,2206.73,2252.012,45.282,12,二级,否,2.0,12,水泥混凝土,12.0,9.0,22,80,0.05或6度,50.0,2003.0,2010.0,,0,否,否,非收费,,,,,45.282,45.282,44.832,山岭,32,大兴安岭地区加漠公路养护事业中心, ,S207,是,
G111,232722,北京—漠河,新林/塔河界,K294+847,2252.012,2258.534,6.522,12,二级,否,2.0,12,水泥混凝土,10.5,9.0,22,60,0.05或6度,50.0,1969.0,2014.0,,0,否,否,非收费,,,,,6.522,6.522,6.402,山岭,7,塔河县公路事业发展中心, ,S207,是,
G111,232722,北京—漠河,K294+847,塔河县木材检查站,2258.534,2263.962,5.428,12,二级,否,2.0,12,水泥混凝土,10.5,9.0,22,60,0.05或6度,50.0,1969.0,2014.0,,0,否,否,非收费,,,,,5.428,5.428,5.32,山岭,2,塔河县公路事业发展中心, ,S207,是,
G111,232722,北京—漠河,塔河县木材检查站,水泥砼路面止,2263.962,2305.396,41.434,12,二级,否,2.0,12,水泥混凝土,10.5,9.0,22,60,0.05或6度,50.0,1969.0,2013.0,,0,否,否,非收费,,,,,41.434,41.434,40.93,山岭,39,塔河县公路事业发展中心, ,S207,是,
G111,232722,北京—漠河,水泥砼路面止,塔河/漠河界,2305.396,2381.294,75.898,12,二级,否,2.0,11,沥青混凝土,12.0,10.5,12,80,0.05或6度,50.0,1969.0,2019.0,,0,否,否,非收费,,,,,75.898,75.898,60.72,山岭,108,塔河县公路事业发展中心, ,S207,是,
G111,232701,北京—漠河,塔河/漠河界,重复路段始,2381.294,2399.267,17.973,12,二级,否,2.0,11,沥青混凝土,12.0,10.5,12,80,0.05或6度,50.0,2019.0,,,0,否,否,非收费,,,,,17.973,17.973,17.9,山岭,20,漠河市公路事业发展中心, ,S207,是,
G111,232701,北京—漠河,重复路段始,重复路段终,2399.267,2408.141,8.874,12,二级,否,2.0,11,沥青混凝土,12.0,10.5,12,80,0.05或6度,50.0,2019.0,,,0,否,否,非收费,,,,,8.874,8.874,8.874,山岭,13,漠河市公路事业发展中心, ,S207,是,
G111,232701,北京—漠河,重复路段终,加漠公路484.9,2408.141,2454.206,46.065,12,二级,否,2.0,11,沥青混凝土,12.0,10.5,12,80,0.05或6度,50.0,2019.0,,,0,否,否,非收费,,,,,46.065,46.065,46.0,山岭,58,漠河市公路事业发展中心, ,S207,是,
G111,232701,北京—漠河,加漠公路484.9,加漠公路,2454.206,2454.606,0.4,12,二级,否,2.0,11,沥青混凝土,12.0,10.5,12,80,0.05或6度,50.0,2003.0,2019.0,,0,否,否,非收费,,,,,0.4,0.4,0.4,山岭,2,漠河市公路事业发展中心, ,S207,是,
G111,232701,北京—漠河,加漠公路,漠河机场专用路,2454.606,2462.466,7.86,12,二级,否,2.0,11,沥青混凝土,12.0,10.5,12,80,0.05或6度,50.0,2003.0,2019.0,,0,否,否,非收费,,,,,7.86,7.86,7.0,山岭,8,漠河市公路事业发展中心, ,S207,是,
G111,232701,北京—漠河,漠河机场专用路,漠河机场大门,2462.466,2465.443,2.977,11,一级,否,4.0,12,水泥混凝土,24.0,21.5,22,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,2.977,2.977,2.977,微丘,5,交投峰悦公司, ,Z002232723,是,
G111,232701,北京—漠河,漠河机场大门,K553+003,2465.443,2494.449,29.006,11,一级,否,4.0,12,水泥混凝土,21.5,18.0,22,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,29.006,29.006,29.006,微丘,35,交投峰悦公司, ,S207,是,
G111,232701,北京—漠河,K553+003,重复路段始,2494.449,2508.909,14.46,11,一级,否,4.0,12,水泥混凝土,21.5,18.0,22,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,14.46,14.46,14.46,微丘,18,交投峰悦公司, ,S207,是,
G111,232701,北京—漠河,重复路段始,重复路段终,2508.909,2515.147,6.238,11,一级,否,4.0,12,水泥混凝土,21.5,18.0,22,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,6.238,6.238,6.238,微丘,8,交投峰悦公司, ,S207,是,
G111,232701,北京—漠河,重复路段终,一级路,2515.147,2532.846,17.699,11,一级,否,4.0,12,水泥混凝土,21.5,18.0,22,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,17.699,17.699,17.699,微丘,26,交投峰悦公司, ,S207,是,
G111,232701,北京—漠河,一级路,北极村,2532.846,2535.582,2.736,12,二级,否,2.0,12,水泥混凝土,12.0,10.5,22,80,0.05或6度,50.0,2011.0,,,0,否,否,还贷,,,,,2.736,2.736,2.736,微丘,5,交投峰悦公司, ,S207,是,
G111,232701,北京—漠河,北极村,黑内省界,2535.582,2538.325,2.743,13,三级,否,2.0,12,水泥混凝土,7.5,6.0,22,60,0.05或6度,25.0,2003.0,,,0,否,否,非收费,,,,,2.743,2.743,2.743,山岭,2,漠河市公路事业发展中心, ,S207,是,
G1111,230717,鹤岗—哈尔滨（鹤哈高速）,伊春,伊春西出口,0.0,3.107,3.107,11,一级,否,4.0,11,沥青混凝土,20.0,18.0,15,80,<0.05或6度以下,100.0,1999.0,,,0,是,否,非收费,,,,,3.107,3.107,0.0,重丘,0,伊春市交通运输局市城建局,0,G1111,否,
G1111,230717,鹤岗—哈尔滨（鹤哈高速）,伊春西出口,伊春市区青山路西端,3.107,7.394,4.287,13,三级,否,2.0,11,沥青混凝土,9.0,7.0,22,30,<0.05或6度以下,25.0,1999.0,,,0,是,否,非收费,,,,,4.287,4.287,0.0,重丘,0,伊春市交通运输局市城建局,0,G1111,否,
G1111,230718,鹤岗—哈尔滨（鹤哈高速）,伊春市区青山路西端,整体段终点（一）,7.394,38.214,30.82,10,高速,否,4.0,11,沥青混凝土,24.5,21.0,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,30.82,30.82,30.82,山岭,57,养护科技伊春分公司, ,G1111,是,
G1111,230718,鹤岗—哈尔滨（鹤哈高速）,整体段终点（一）,分离段终点（一）,38.214,43.348,5.134,10,高速,否,4.0,11,沥青混凝土,12.5,11.0,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,5.134,5.134,5.134,山岭,20,养护科技伊春分公司, ,G1111,是,
G1111,230718,鹤岗—哈尔滨（鹤哈高速）,分离段终点（一）,整体段终点（二）,43.348,50.892,7.544,10,高速,否,4.0,11,沥青混凝土,24.5,21.0,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,7.544,7.544,7.544,山岭,7,养护科技伊春分公司, ,G1111,是,
G1111,230718,鹤岗—哈尔滨（鹤哈高速）,整体段终点（二）,分离段终点（二）,50.892,53.888,2.996,10,高速,否,4.0,11,沥青混凝土,12.5,11.0,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,2.996,2.996,2.996,山岭,10,养护科技伊春分公司, ,G1111,是,
G1111,230718,鹤岗—哈尔滨（鹤哈高速）,分离段终点（二）,伊春/庆安界,53.888,58.44,4.552,10,高速,否,4.0,11,沥青混凝土,24.5,21.0,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,4.552,4.552,4.552,山岭,9,养护科技伊春分公司, ,G1111,是,
G1111,231224,鹤岗—哈尔滨（鹤哈高速）,伊春/庆安界,分离段终点（三）,58.44,64.174,5.734,10,高速,否,4.0,11,沥青混凝土,12.5,11.0,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,5.734,5.734,5.734,山岭,21,养护科技伊春分公司, ,G1111,是,
G1111,231224,鹤岗—哈尔滨（鹤哈高速）,分离段终点（三）,整体段终点（四）,64.174,66.985,2.811,10,高速,否,4.0,11,沥青混凝土,24.5,21.0,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,2.811,2.811,2.811,山岭,4,养护科技伊春分公司, ,G1111,是,
G1111,231224,鹤岗—哈尔滨（鹤哈高速）,整体段终点（四）,翠峦养护工区界,66.985,74.481,7.496,10,高速,否,4.0,11,沥青混凝土,12.5,11.0,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,7.496,7.496,7.496,山岭,20,养护科技伊春分公司, ,G1111,是,
G1111,231224,鹤岗—哈尔滨（鹤哈高速）,翠峦养护工区界,庆安/铁力界,74.481,85.217,10.736,10,高速,否,4.0,11,沥青混凝土,12.5,11.0,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,10.736,10.736,10.736,山岭,42,养护科技伊春分公司, ,G1111,是,
G1111,230781,鹤岗—哈尔滨（鹤哈高速）,庆安/铁力界,分离段终点（六）,85.217,85.866,0.649,10,高速,否,4.0,11,沥青混凝土,12.5,11.0,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,0.649,0.649,0.649,平原,1,养护科技伊春分公司, ,G1111,是,
G1111,230781,鹤岗—哈尔滨（鹤哈高速）,分离段终点（六）,铁力/庆安界,85.866,145.287,59.421,10,高速,否,4.0,11,沥青混凝土,24.5,21.0,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,59.421,59.421,59.421,平原,127,养护科技伊春分公司, ,G1111,是,
G1111,231224,鹤岗—哈尔滨（鹤哈高速）,铁力/庆安界,伊春/哈北分公司,145.287,166.651,21.364,10,高速,否,4.0,11,沥青混凝土,24.5,21.0,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,21.364,21.364,21.364,平原,37,养护科技伊春分公司, ,G1111,是,
G1111,231224,鹤岗—哈尔滨（鹤哈高速）,伊春/哈北分公司,鹤哈高速修改建路段界,166.651,170.26,3.609,10,高速,否,4.0,11,沥青混凝土,24.5,21.0,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,3.609,3.609,3.609,平原,2,八达公路工程公司, ,G1111,是,
G1111,231224,鹤岗—哈尔滨（鹤哈高速）,鹤哈高速修改建路段界,庆安/北林界,170.26,184.212,13.952,10,高速,否,4.0,11,沥青混凝土,24.5,21.0,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,13.952,13.952,13.952,平原,9,八达公路工程公司, ,G1111,是,
G1111,231202,鹤岗—哈尔滨（鹤哈高速）,庆安/北林界,绥化/庆安养护工区,184.212,206.32,22.108,10,高速,否,4.0,11,沥青混凝土,24.5,21.0,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,22.108,22.108,22.108,平原,10,八达公路工程公司, ,G1111,是,
G1111,231202,鹤岗—哈尔滨（鹤哈高速）,绥化/庆安养护工区,鹤哈高速路面宽度界点一,206.32,207.771,1.451,10,高速,否,4.0,11,沥青混凝土,10.5,9.0,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,1.451,1.451,1.451,平原,1,八达公路工程公司, ,G1111,是,已核实为高速匝道
G1111,231202,鹤岗—哈尔滨（鹤哈高速）,鹤哈高速路面宽度界点一,鹤哈绥北高速界(绥北起点),207.771,224.207,16.436,10,高速,否,4.0,11,沥青混凝土,24.5,21.0,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,16.436,16.436,16.436,平原,15,八达公路工程公司, ,G1111,是,
G1111,231202,鹤岗—哈尔滨（鹤哈高速）,鹤哈绥北高速界(绥北起点),鹤哈高速路基宽度界点二,224.207,225.442,1.235,10,高速,否,4.0,11,沥青混凝土,10.5,9.0,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,1.235,1.235,1.235,平原,3,八达公路工程公司, ,G1111,是,已核实为高速匝道
G1111,231202,鹤岗—哈尔滨（鹤哈高速）,鹤哈高速路基宽度界点二,绥化/巴彦界,225.442,227.248,1.806,10,高速,否,4.0,11,沥青混凝土,28.0,23.5,12,120,0.05或6度,100.0,2000.0,,,0,否,否,还贷,,,,,1.806,1.806,1.806,平原,1,八达公路工程公司, ,G1111,是,
G1111,230126,鹤岗—哈尔滨（鹤哈高速）,绥化/巴彦界,绥化/康金养护工区,227.248,238.397,11.149,10,高速,否,4.0,11,沥青混凝土,28.0,23.5,12,120,0.05或6度,100.0,2000.0,,,0,否,否,还贷,,,,,11.149,11.149,11.149,平原,11,八达公路工程公司, ,G1111,是,
G1111,230126,鹤岗—哈尔滨（鹤哈高速）,绥化/康金养护工区,呼兰/巴彦界,238.397,242.744,4.347,10,高速,否,4.0,11,沥青混凝土,28.0,23.5,12,120,0.05或6度,100.0,2000.0,,,0,否,否,还贷,,,,,4.347,4.347,4.347,平原,5,八达公路工程公司, ,G1111,是,
G1111,230111,鹤岗—哈尔滨（鹤哈高速）,呼兰/巴彦界,2004年新建路段起点,242.744,300.831,58.087,10,高速,否,4.0,11,沥青混凝土,28.0,23.5,12,120,0.05或6度,100.0,2000.0,,,0,否,否,还贷,,,,,58.087,58.087,58.087,平原,58,八达公路工程公司, ,G1111,是,
G1111,230111,鹤岗—哈尔滨（鹤哈高速）,2004年新建路段起点,绥化处/哈尔滨处,300.831,310.851,10.02,10,高速,否,4.0,11,沥青混凝土,28.0,23.5,12,120,0.05或6度,100.0,2004.0,,,0,否,否,还贷,,,,,10.02,10.02,10.02,平原,24,八达公路工程公司, ,G1111,是,
G1111,230111,鹤岗—哈尔滨（鹤哈高速）,绥化处/哈尔滨处,秦家,310.851,311.959,1.108,10,高速,否,4.0,11,沥青混凝土,28.0,23.5,12,120,0.05或6度,100.0,2004.0,,,0,否,否,还贷,,,,,1.108,1.108,1.108,平原,0,八达公路工程公司, ,G1111,是,
G1211,230184,吉林—黑河（吉黑高速）,黑吉省界,重复路段终,137.0,149.277,12.277,30,等外,否,,36,无路面,22.0,0.0,0,0,0,,,,,6,否,是,,,,,,0.0,0.0,0.0,平原,0,, ,,,断头路
G1211,230184,吉林—黑河（吉黑高速）,重复路段终,重复路段始,149.277,150.2,0.923,30,等外,否,,36,无路面,22.0,0.0,0,0,0,,,,,6,否,是,,,,,,0.0,0.0,0.0,平原,0,, ,,,断头路
G1211,230184,吉林—黑河（吉黑高速）,重复路段始,重复路段终,150.2,151.475,1.275,30,等外,否,,36,无路面,22.0,0.0,0,0,0,,,,,6,否,是,,,,,,0.0,0.0,0.0,平原,0,, ,,,断头路
G1211,230184,吉林—黑河（吉黑高速）,重复路段终,重复路段终,151.475,152.062,0.587,30,等外,否,,36,无路面,22.0,0.0,0,0,0,,,,,6,否,是,,,,,,0.0,0.0,0.0,平原,0,, ,,,断头路
G1211,230184,吉林—黑河（吉黑高速）,重复路段终,重复路段始,152.062,160.458,8.396,30,等外,否,,36,无路面,22.0,0.0,0,0,0,,,,,6,否,是,,,,,,0.0,0.0,0.0,平原,0,, ,,,断头路
G1211,230184,吉林—黑河（吉黑高速）,重复路段始,小翰林窝堡,160.458,162.399,1.941,30,等外,否,,36,无路面,22.0,0.0,0,0,0,,,,,6,否,是,,,,,,0.0,0.0,0.0,平原,0,, ,,,断头路
G1211,230184,吉林—黑河（吉黑高速）,小翰林窝堡,张家床子,162.399,163.983,1.584,30,等外,否,,36,无路面,22.0,0.0,0,0,0,,,,,6,否,是,,,,,,0.0,0.0,0.0,平原,0,, ,,,断头路
G1211,230184,吉林—黑河（吉黑高速）,张家床子,张汉武,163.983,167.754,3.771,30,等外,否,,36,无路面,22.0,0.0,0,0,0,,,,,6,否,是,,,,,,0.0,0.0,0.0,平原,0,, ,,,断头路
G1211,230184,吉林—黑河（吉黑高速）,张汉武,五常,167.754,169.526,1.772,30,等外,否,,36,无路面,22.0,0.0,0,0,0,,,,,6,是,是,,,,,,0.0,0.0,0.0,平原,0,, ,,,断头路
G1211,230184,吉林—黑河（吉黑高速）,五常,五常北入口,169.526,173.514,3.988,30,等外,否,,36,无路面,22.0,0.0,0,0,0,,,,,6,是,是,,,,,,0.0,0.0,0.0,平原,0,, ,,,断头路
G1211,230184,吉林—黑河（吉黑高速）,五常北入口,K57+514,173.514,194.514,21.0,30,等外,否,,36,无路面,22.0,0.0,0,0,0,,,,,6,否,是,,,,,,0.0,0.0,0.0,平原,0,, ,,,断头路
G1211,230184,吉林—黑河（吉黑高速）,K57+514,拉林,194.514,217.046,22.532,30,等外,否,,36,无路面,22.0,0.0,0,0,0,,,,,6,否,是,,,,,,0.0,0.0,0.0,平原,0,, ,,,断头路
G1211,230184,吉林—黑河（吉黑高速）,拉林,阿五界,217.046,241.527,24.481,30,等外,否,,36,无路面,22.0,0.0,0,0,0,,,,,6,否,是,,,,,,0.0,0.0,0.0,平原,0,, ,,,断头路
G1211,230113,吉林—黑河（吉黑高速）,阿五界,重复路段终,241.527,244.791,3.264,30,等外,否,,36,无路面,22.0,0.0,0,0,0,,,,,6,否,是,,,,,,0.0,0.0,0.0,平原,0,, ,,,断头路
G1211,230113,吉林—黑河（吉黑高速）,重复路段终,重复路段始,244.791,246.948,2.157,30,等外,否,,36,无路面,22.0,0.0,0,0,0,,,,,6,否,是,,,,,,0.0,0.0,0.0,平原,0,, ,,,断头路
G1211,230113,吉林—黑河（吉黑高速）,重复路段始,平阿界,246.948,255.274,8.326,30,等外,否,,36,无路面,22.0,0.0,0,0,0,,,,,6,否,是,,,,,,0.0,0.0,0.0,平原,0,, ,,,断头路
G1211,230110,吉林—黑河（吉黑高速）,平阿界,朝阳镇,255.274,266.495,11.221,30,等外,否,,36,无路面,22.0,0.0,0,0,0,,,,,6,否,是,,,,,,0.0,0.0,0.0,平原,0,, ,,,断头路
G1211,230109,吉林—黑河（吉黑高速）,朝阳镇,朝阳镇,266.495,284.537,18.042,30,等外,否,,36,无路面,22.0,0.0,0,0,0,,,,,6,否,是,,,,,,0.0,0.0,0.0,平原,0,, ,,,断头路
